date,time,asset,dir,session,pnl,result,phase,be,loss_reasons,exit_type,rr,risk_pct,score,ict,smc,wyc,conditions,inst_score,grade
2024-12-27,03:05,EUR,BEAR,LONDON,-943.85,LOSS,3,False,"['ASIAN_HIGH_BROKEN', 'BULLISH_CANDLE']",SL_FULL,2.0,0.75,4,2,1,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_IMBAL', 'WYC_CAUSE']",30.8,D
2024-12-27,03:15,GBP,BEAR,LONDON,-39.3,LOSS,3,True,"['BE_REVERSAL', 'ASIAN_HIGH_BROKEN']",BE_FLAT,2.5,0.5,5,2,2,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_CAUSE']",38.5,D
2024-12-27,03:20,EUR,BEAR,LONDON,-613.16,LOSS,3,False,['ASIAN_HIGH_BROKEN'],SL_FULL,3.0,0.5,8,2,3,3,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_TEST', 'WYC_CAUSE', 'WYC_EFFORT']",61.5,B
2024-12-30,08:05,EUR,BEAR,NEWYORK,391.15,WIN,3,False,[],TP_FULL,2.5,0.25,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_SPRING', 'WYC_CAUSE']",46.2,C
2024-12-30,08:10,GBP,BEAR,NEWYORK,372.1,WIN,3,False,[],TP_FULL,2.5,0.25,6,3,2,1,"['ICT_SWEEP', 'ICT_OB', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",46.2,C
2024-12-30,08:15,EUR,BEAR,NEWYORK,913.62,WIN,3,False,[],TP_FULL,3.0,0.5,9,4,3,2,"['ICT_SWEEP', 'ICT_FVG', 'ICT_CISD', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",69.2,B
2024-12-30,08:20,EUR,BEAR,NEWYORK,911.73,WIN,3,False,[],TP_FULL,3.0,0.5,8,4,3,1,"['ICT_SWEEP', 'ICT_FVG', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_EFFORT']",61.5,B
2024-12-30,08:30,GBP,BEAR,NEWYORK,1299.19,WIN,3,False,[],TP_FULL,3.0,0.75,7,3,3,1,"['ICT_SWEEP', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",53.8,C
2024-12-31,05:05,GBP,BEAR,LONDON,303.24,WIN,3,True,[],TP_PARTIAL_BE,3.0,0.75,8,3,3,2,"['ICT_SWEEP', 'ICT_FVG', 'ICT_CISD', 'SMC_BOS', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",61.5,B
2025-01-03,03:00,EUR,BEAR,LONDON,-907.6,LOSS,3,False,"['ASIAN_HIGH_BROKEN', 'BULLISH_CANDLE', 'BIG_CANDLE']",SL_FULL,3.0,0.75,7,2,3,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_TEST', 'WYC_EFFORT']",53.8,C
2025-01-03,03:10,EUR,BEAR,LONDON,346.01,WIN,3,True,[],TP_PARTIAL_BE,2.5,0.75,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",46.2,C
2025-01-03,03:30,EUR,BEAR,LONDON,-897.52,LOSS,3,False,['ASIAN_HIGH_BROKEN'],SL_FULL,3.0,0.75,8,2,3,3,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_SPRING', 'WYC_CAUSE', 'WYC_EFFORT']",61.5,B
2025-01-03,03:35,EUR,BEAR,LONDON,-910.2,LOSS,3,False,['NORMAL_SL'],SL_FULL,3.0,0.75,8,4,2,2,"['ICT_SWEEP', 'ICT_FVG', 'ICT_OB', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_TEST', 'WYC_EFFORT']",61.5,B
2025-01-03,05:05,GBP,BEAR,LONDON,-650.74,LOSS,3,False,['ASIAN_HIGH_BROKEN'],SL_FULL,2.5,0.5,5,2,2,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_SPRING']",38.5,D
2025-01-06,08:05,GOLD,BEAR,NEWYORK,508.78,WIN,3,False,[],TP_FULL,2.5,0.5,6,2,3,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE']",46.2,C
